15/2/2018 14:54:07 - #Bodies: 2, Timestep: 0.000125, CPU Time: 3.7535s
15/2/2018 14:54:08 - #Bodies: 2, Timestep: 6.25e-05, CPU Time: 4.10303s
15/2/2018 14:54:09 - #Bodies: 2, Timestep: 3.125e-05, CPU Time: 4.87014s
15/2/2018 14:54:10 - #Bodies: 2, Timestep: 1.5625e-05, CPU Time: 6.25282s
15/2/2018 14:54:12 - #Bodies: 2, Timestep: 7.8125e-06, CPU Time: 8.2726s
15/2/2018 14:54:16 - #Bodies: 2, Timestep: 3.90625e-06, CPU Time: 12.283s
15/2/2018 14:54:19 - #Bodies: 2, Timestep: 1.95313e-06, CPU Time: 14.6837s
15/2/2018 14:54:41 - #Bodies: 2, Timestep: 0.001, CPU Time: 0.017386s
15/2/2018 14:54:41 - #Bodies: 2, Timestep: 0.0005, CPU Time: 0.047397s
15/2/2018 14:54:41 - #Bodies: 2, Timestep: 0.00025, CPU Time: 0.096465s
15/2/2018 14:54:42 - #Bodies: 2, Timestep: 0.000125, CPU Time: 0.197175s
15/2/2018 14:54:42 - #Bodies: 2, Timestep: 6.25e-05, CPU Time: 0.37636s
15/2/2018 14:54:42 - #Bodies: 2, Timestep: 3.125e-05, CPU Time: 0.788182s
15/2/2018 14:54:43 - #Bodies: 2, Timestep: 1.5625e-05, CPU Time: 1.62951s
15/2/2018 14:54:45 - #Bodies: 2, Timestep: 7.8125e-06, CPU Time: 3.49008s
15/2/2018 14:54:51 - #Bodies: 2, Timestep: 1e-05, CPU Time: 1.5827s
15/2/2018 14:54:56 - #Bodies: 2, Timestep: 5e-06, CPU Time: 4.59168s
15/2/2018 14:55:21 - #Bodies: 2, Timestep: 1e-06, CPU Time: 15.6857s
15/2/2018 14:56:10 - #Bodies: 2, Timestep: 5e-07, CPU Time: 50.3922s
